name,ring,quadrant,moved,link
Blockchain,inner,bottom right,up,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/Blockchain
Cloud Native,second,bottom right,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/Cloud%20Native
Big Data,second,bottom right,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/Big%20Data
Dev Ops Adoption,second,bottom right,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/DevOps%20Adoption
Immersive Technology,second,bottom right,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/Immersive%20Technology%20(AR%20VR%20MR)
Internet of Things,second,bottom right,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/Internet%20of%20Things
AI and ML,second,bottom right,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/AI%20and%20ML
Robotics,second,bottom right,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/Robotics
Smart Offices,second,top left,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/Smart%20Offices
Workflow Automation,inner,top left,none,https://014gc.sharepoint.com/sites/DGIIT-SARIITB-SABR/Lists/ETMS/Workflow%20Automation
